source,target,weight
3rd Line Support,Other Admin & Secretarial,0.14099457860712072
3rd Line Support,Other Banking,0.14414802674119753
3rd Line Support,Other Charity & Voluntary,0.15409510865510215
3rd Line Support,Other Construction & Property,0.14986347918790507
3rd Line Support,Other Customer Service,0.11550490075253242
3rd Line Support,Other Education,0.12847448478751636
3rd Line Support,Other Engineering,0.16827686281176507
3rd Line Support,Other Estate Agency,0.14263591773644443
3rd Line Support,Other Financial Services,0.1513985179325496
3rd Line Support,Other Health & Medicine,0.14383794140901535
3rd Line Support,Other Hospitality & Catering,0.11726717328545026
3rd Line Support,Other Human Resources,0.13721211233673516
3rd Line Support,Other IT & Telecoms,0.2322602550118938
3rd Line Support,Other Legal,0.1486325962219434
3rd Line Support,Other Leisure & Tourism,0.14452908148150045
3rd Line Support,Other Manager,0.15354791591547717
3rd Line Support,Other Manufacturing,0.1422785530322259
